,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
8011,735262,Jesper Grønkjær,27,Nuuk,,GREENLAND,GL,GRL,64.175,-51.738889,North America,1977,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,843939,7.720643987000001,5854.646925999999,378370,465569,31257.0,16.81274829
10679,14914566,Bilawal Bhutto Zardari,30,Karachi,,PAKISTAN,PK,PAK,24.86,67.01,Asia,1988,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,841239,2.579939075,10261.64379,694625,146614,28041.3,12.26767504
5564,261047,Enda Kenny,39,Castlebar,,Ireland,IE,IRL,53.8608,-9.2988,Europe,1951,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,840828,3.820574755,12271.04781,603504,237324,21559.69231,19.16586345
2394,57101,Anne of Denmark,26,Skanderborg,,DENMARK,DK,DNK,56.041667000000004,9.925,Europe,1574,Female,COMPANION,COMPANIONS,PUBLIC FIGURE,837274,3.9195674439999997,5103.053575999999,582112,255162,32202.84615,22.28641648
8952,1360727,Morten Gamst Pedersen,31,Vadsø,,NORWAY,NO,NOR,70.07333299999999,29.749722,Europe,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,832993,5.289081086,4415.617225,520348,312645,26870.741939999996,15.78709543
8737,1130618,Subutai,28,Burkhan Khaldun,,MONGOLIA,MN,MNG,48.753889,108.66375,Asia,1176,Male,MILITARY PERSONNEL,MILITARY,INSTITUTIONS,832892,4.781135409,6482.925657,537044,295848,29746.142860000004,22.92809152
1504,32519,Valens,47,Vinkovci,,CROATIA,HR,HRV,45.291111,18.801111,Europe,328,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,829825,10.16480294,1997.7642449999998,368102,461723,17655.85106,26.32358556
5474,252658,Carlos I of Portugal,31,Lisbon,,PORTUGAL,PT,PRT,38.713889,-9.139444000000001,Europe,1863,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,827577,6.213877005,3628.840973,242352,585225,26696.03226,23.30785596
7447,558698,Taslima Nasrin,31,Mymensingh,,BANGLADESH,BD,BGD,24.753889,90.403056,Asia,1962,Female,WRITER,LANGUAGE,HUMANITIES,827399,3.872142326,4991.8063170000005,558230,269169,26690.29032,18.246639899999998
7026,445152,Agostinho Neto,42,Ícolo e Bengo,,Angola,AO,AGO,-9.25,13.733332999999998,Africa,1922,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,826503,8.127258595,6421.533691,203689,622814,19678.64286,23.00967425
