,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
10606,12520860,Demi Lovato,84,Albuquerque,NM,UNITED STATES,US,USA,35.110703,-106.609991,North America,1992,Female,SINGER,MUSIC,ARTS,53414996,5.775025658,313306.1234,29050645,24364351,635892.8095,19.25114975
3177,83688,Beyoncé,86,Houston,TX,UNITED STATES,US,USA,29.762778000000004,-95.38305600000001,North America,1981,Female,SINGER,MUSIC,ARTS,53049791,6.111313994,346474.19700000004,31191963,21857828,616858.0349,20.99049909
3141,20455,Michael Jordan,75,New York,NY,UNITED STATES,US,USA,40.692778000000004,-73.990278,North America,1963,Male,BASKETBALL PLAYER,TEAM SPORTS,SPORTS,49879093,5.077656822,262167.1281,31236048,18643045,665054.5733,23.61981587
3111,156126,The Rock,45,San Francisco-Bay Area,CA,UNITED STATES,US,USA,37.668889,-122.08083300000001,North America,1972,Male,ACTOR,FILM AND THEATRE,ARTS,49588797,4.365727869,409508.3576,31380680,18208117,1101973.267,21.05364111
9978,345802,John Cena,53,West Newbury,MA,UNITED STATES,US,USA,42.801389,-70.990278,North America,1977,Male,WRESTLER,INDIVIDUAL SPORTS,SPORTS,48740783,5.312117568,229723.0381,27756660,20984123,919637.4151,21.30810964
10808,31460,Tom Cruise,82,Syracuse,NY,UNITED STATES,US,USA,43.046944,-76.144444,North America,1962,Male,ACTOR,FILM AND THEATRE,ARTS,48511575,6.958254548999999,323688.2455,25325423,23186152,591604.5732,24.16075137
2685,16175,Jennifer Lopez,74,New York,NY,United States,US,USA,,,North America,1969,Female,SINGER,MUSIC,ARTS,47371469,7.262349477999999,391698.2742,24031252,23340217,640154.9865,22.78650452
9494,20913246,Scarlett Johansson,91,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1984,Female,ACTOR,FILM AND THEATRE,ARTS,47029383,6.01691495,285373.8616,25225160,21804223,516806.4066,20.60295765
810,16707,Kurt Cobain,68,Aberdeen,WA,UNITED STATES,US,USA,46.975833,-123.818611,North America,1967,Male,SINGER,MUSIC,ARTS,46176455,8.04822291,198963.6771,20350744,25825711,679065.5147,23.87548658
5920,278119,Charlie Sheen,51,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1965,Male,ACTOR,FILM AND THEATRE,ARTS,44461809,5.176825368,642139.6176,25622979,18838830,871800.1765,21.93798647
3915,61404,Sylvester Stallone,74,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1946,Male,ACTOR,FILM AND THEATRE,ARTS,43805205,7.467098797999999,293800.3024,21338758,22466447,591962.2297,26.57451983
10925,39942,Jennifer Aniston,70,Los Angeles,CA,UNITED STATES,US,USA,34.151111,-118.448333,North America,1969,Female,ACTOR,FILM AND THEATRE,ARTS,43727724,5.654944451,209638.7591,25563882,18163842,624681.7714,22.77508472
9857,3414021,George Bush,143,New Haven,CT,UNITED STATES,US,USA,41.31,-72.923611,North America,1946,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,42866705,5.401050196,231269.9209,28235452,14631253,299767.1678,26.69818069
4926,162870,Jay-Z,56,New York,NY,UNITED STATES,US,USA,40.692778000000004,-73.990278,North America,1969,Male,SINGER,MUSIC,ARTS,42716217,3.305492418,172100.2225,32203115,10513102,762789.5893,21.64209089
5350,192481,50 Cent,67,New York,NY,United States,US,USA,,,North America,1975,Male,SINGER,MUSIC,ARTS,42347730,5.934493101,105984.9005,24758992,17588738,632055.6716,22.43448613
1282,25169,Quentin Tarantino,68,Knoxville,TN,UNITED STATES,US,USA,35.972778000000005,-83.942222,North America,1963,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,41489929,7.355518815,408798.5688,17643500,23846429,610146.0147,23.51020622
7312,523032,Kanye West,54,Atlanta,GA,UNITED STATES,US,USA,33.755,-84.39,North America,1977,Male,SINGER,MUSIC,ARTS,41382483,2.958805196,208288.0636,32040185,9342298,766342.2778,19.86667684
10632,13199916,Taylor Lautner,111,Grand Rapids,MI,UNITED STATES,US,USA,42.96125,-85.65571899999999,North America,1992,Male,ACTOR,FILM AND THEATRE,ARTS,40302818,5.936253784,343655.0023,20943556,19359262,363088.4505,18.95332099
8724,8490390,Lindsay Lohan,66,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1986,Female,ACTOR,FILM AND THEATRE,ARTS,40252855,6.207531287,128037.1199,21306837,18946018,609891.7424,20.48105884
6729,415175,Vin Diesel,46,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1967,Male,ACTOR,FILM AND THEATRE,ARTS,39643634,7.056825454,339794.2443,18948432,20695202,861818.1304,22.44393796
4166,162617,Chuck Norris,64,Ryan,OK,UNITED STATES,US,USA,34.021667,-97.954167,North America,1940,Male,ACTOR,FILM AND THEATRE,ARTS,39583094,7.276116557999999,286280.8905,18461401,21121693,618485.8438,26.75672162
732,16095,Jimi Hendrix,83,Seattle,WA,UNITED STATES,US,USA,47.609722,-122.333056,North America,1942,Male,MUSICIAN,MUSIC,ARTS,39460548,7.672649819,116896.4358,18685074,20775474,475428.2892,27.92576209
2794,69323,Justin Timberlake,69,Memphis,TN,UNITED STATES,US,USA,35.117365,-89.971068,North America,1981,Male,SINGER,MUSIC,ARTS,39421979,5.556528135,271672.9243,23672034,15749945,571333.029,20.29366979
